nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Total Fat,5g,Saturated Fat,1g,Sodium,752mg,Carbohydrates,26g,Dietary Fiber,6g,Protein,9g,Sugars,4g,Vitamin C,15mg,Calcium,91mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,2mg,Vitamin B6,0mg,Magnesium,24mg,Folate,50mcg,Vitamin A - IU,3638IU,Cholesterol,5mg,Potassium,360mg,42,182,minestrone,minestrone soup,slow cooker,BUSHâ€™SÂ® beans,pasta,Soup,,Heat olive oil over medium heat in a medium sautÃ© pan. Add sausage; brown well.,"Add tomato paste, cook 5 minutes until brown.",1 tablespoon extra virgin olive oil,"1/4 cup Italian turkey sausage, in small pieces",2 tablespoons tomato paste,1 cup chopped onion,1 cup chopped celery,2 tablespoons minced garlic,1 cup chopped carrots,1 teaspoon dried oregano,1 (16 ounce) can chopped canned tomatoes,5 cups chicken stock,"1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Cannellini Beans, with liquid",9 servings, 6   hours 38   Minutes, 6   hours 18   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/cb1a8f2e-03a0-4f3a-be4a-8ee4da4d2dd5.jpg,"Fresh vegetables, flavorful Italian sausage and two types of beans create a colorful soup sure to please your family.","Red, White and Bean Minestrone","Add onions, celery, garlic, carrots and oregano. Cook until garlic is aromatic, approximately 5 minutes.","1/2 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Red Kidney Beans, drained",2 cups zucchini cut into 1/2-inch pieces,Pour into a 4-quart slow cooker. Add tomatoes and chicken stock.,2 cups baby spinach,1 1/2 cups cooked bowtie pasta,2 tablespoons pre-packaged pesto,2 tablespoons fresh grated Parmesan cheese,Cook on low setting for 6 to 7 hours or until the vegetables are tender.,"Stir in beans, zucchini, spinach and cooked pasta. Cook on high setting for 8 minutes or until beans and pasta are warmed through and spinach has wilted.",To Serve: Pour the soup into a bowl. Top with a little pesto and fresh grated parmesan cheese.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,3g,Saturated Fat,0g,Sodium,567mg,Carbohydrates,30g,Dietary Fiber,5g,Protein,6g,Sugars,2g,Vitamin C,18mg,Calcium,20mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,14mg,Folate,40mcg,Vitamin A - IU,307IU,Cholesterol,0mg,Potassium,152mg,25,162,black beans,BUSHâ€™SÂ® beans,party favs,quick & easy,,,,"In large skillet heat olive oil; cook onion and green pepper until crisp tender; stir in tomatoes, beans, thyme and garlic salt, cook 3 minutes; add vinegar, pepper sauce, and reserved juices continue to cook 5 minutes.",Serve over rice. Garnish with lime wedge (optional).,1 tablespoon olive oil,3/4 cup finely chopped onion,1/2 cup finely chopped green pepper,1 cup diced tomatoes,"1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, drain and reserve juices",1/2 teaspoon thyme,1 teaspoon garlic salt,3 tablespoons cider vinegar,1/2 teaspoon hot pepper sauce,2 cups cooked rice,Lime wedges (optional),6 side-dish servings, 15   Minutes, 10   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146452.jpg,"Serve this mix of black beans, tomatoes, onions, green pepper and rice with your favorite Mexican dish.",Traditional Black Beans and Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,11g,Sodium,1132mg,Dietary Fiber,10g,Protein,24g,Sugars,4g,Cholesterol,52mg,Total Carbs,26g,,,,,,,,,,,,,,,,,,,,,,,,303,Family Inspired,BUSH'S,special,garbanzo beans,chili,,,"Heat oil in a 4-quart saucepan over medium heat. Add onion, garlic, green pepper and oregano. Cook 3-4 minutes until vegetables are soft.","Add tomatoes, lemon juice, chicken, stock and beans. Lower heat; simmer 20-25 minutes. ",2 tablespoons olive oil,"1 medium onion, chopped ","4 cloves garlic, chopped","1 medium green pepper, chopped",2 teaspoons dried leaf oregano,"1 (16 ounce) can diced tomatoes, undrained","1 lemon, juiced","1 pound chicken, cooked and shredded",4 cups chicken stock,"2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Garbanzo Beans, drained ",1/4 cup crumbled feta cheese ,8, 50   Minutes, 30   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/9fc5334c-2100-4a9b-947b-9da9dbf28e1b.jpg,"So easy and so delicious, this chicken chili with garbanzo beans and fresh lemon juice is topped with feta cheese and fresh chopped parsley.",Citrus Chicken Chili,Serve topped with cheese and parsley.,"3 tablespoons fresh parsley, chopped fine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,9g,Saturated Fat,3g,Sodium,760mg,Carbohydrates,64g,Dietary Fiber,9g,Protein,45g,Sugars,8g,Vitamin C,8mg,Calcium,96mg,Iron,4mg,Thiamin,0mg,Niacin Equivalents,24mg,Vitamin B6,1mg,Magnesium,77mg,Folate,143mcg,Vitamin A - IU,325IU,Cholesterol,95mg,Potassium,640mg,83,523,garbanzo,slow cooker,BUSHâ€™SÂ® beans,,,,,"Add the chicken, beans, tomato sauce, onion, olives, oregano, garlic and pepper to the slow cooker and stir to combine. Cover and cook on low until the chicken is cooked through and the flavors are all melded, about 4 hours.",Cook the orzo pasta according to the directions on the package.,"2 pounds boneless, skinless chicken breasts, halved (4 to 6), cut into 12 pieces total",1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Garbanzo Beans or BUSHâ€™S<sup>Â®</sup> Reduced Sodium Garbanzo Beans,1 (15 ounce) can tomato sauce,1 diced medium onion (about 1 1/2 cups),1/4 cup coarsely chopped pitted Kalamata olives,1 tablespoon chopped fresh oregano (or 1 teaspoon dried oregano),1 clove minced garlic,1/4 teaspoon ground black pepper,12 ounces dried orzo pasta,6 tablespoons crumbled feta cheese,,6 servings, 4   hours 15   Minutes, 4   hours, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/209554.jpg,"Created for BUSHâ€™S<sup>Â®</sup> Beans by Liz Weiss, registered dietitian, co-founder of the family-friendly food blog, â€œMeal Makeover Moms' Kitchenâ€ù at MealMakeoverMoms.com/kitchen, Kiwi magazine freelance writer, and mom.",Slow Cooker Chicken Orzo and Garbanzo Beans,Serve over cooked orzo pasta and top each serving with a tablespoon of feta cheese. Garnish with a sprig of fresh oregano as desired.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,0g,Saturated Fat,0g,Sodium,1386mg,Carbohydrates,39g,Dietary Fiber,11g,Protein,11g,Sugars,5g,Vitamin C,0mg,Calcium,7mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,0mg,Vitamin B6,0mg,Magnesium,2mg,Folate,1mcg,Vitamin A - IU,94IU,Cholesterol,0mg,Potassium,24mg,4,220,baked beans,pinto,BUSHâ€™SÂ® beans,party favs,kid friendly,,,Preheat oven to 350 degrees F.,Combine all ingredients in well-greased small baking dish. Cover. Bake 1 hour at 350 degrees F. This is delicious with baked ham or meat loaf.,1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans,2 teaspoons brown sugar,"1 packet instant beef flavored broth, mixed per manufacturers directions",1/4 teaspoon cayenne pepper,1/4 teaspoon ground mustard,Salt and pepper to taste,,,,,,2 servings, 1 hour 5   Minutes, 1 hour, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146438.jpg,These baked pinto beans are a perfect side.,Savory Baked Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,10g,Saturated Fat,4g,Sodium,545mg,Carbohydrates,24g,Dietary Fiber,5g,Protein,19g,Sugars,5g,Vitamin C,97mg,Calcium,22mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,7mg,Vitamin B6,0mg,Magnesium,26mg,Folate,41mcg,Vitamin A - IU,441IU,Cholesterol,50mg,Potassium,407mg,91,265,BUSHâ€™SÂ® beans,,,,,,,Cut a thin slice for the top of each pepper. Remove seeds. Cook peppers in boiling water for 3 minutes. Invert and drain.,"In a large skillet, cook ground beef and onion until meat is browned; drain well. Stir in BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter and rice. Divide mixture evenly among peppers. Place peppers in a 2-quart baking dish.",1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter,6 medium-size green peppers,1 pound lean ground beef,1/2 cup chopped onion,1/2 cup instant rice,,,,,,,6 servings, 45   Minutes, 35   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/4fe72c43-a9a5-400c-ade8-9003e9a856e5.jpg,Zesty stuffed peppers make a quick and easy dinner with the help of BUSHâ€™S<sup>Â®</sup> Magic Chili Starter and instant rice.,Stuffed Peppers,Cover and bake at 350 degrees F for 25 to 30 minutes or until peppers are tender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,6g,Saturated Fat,1g,Sodium,358mg,Carbohydrates,28g,Dietary Fiber,4g,Protein,5g,Sugars,2g,Vitamin C,2mg,Calcium,50mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,42mg,Folate,12mcg,Vitamin A - IU,120IU,Cholesterol,0mg,Potassium,105mg,57,180,salsa,dips,BUSHâ€™SÂ® beans,party favs,quick & easy,,,"Mix BUSHâ€™S<sup>Â®</sup> Original Baked Beans, tomatoes, corn, scallions, garlic and hot pepper sauce in a medium bowl.",Serve with tortilla chips. May substitute BUSHâ€™S<sup>Â®</sup> Vegetarian Baked Beans for a vegetarian salsa.,1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Original Baked Beans,"1 (14.5 ounce) can diced tomatoes with jalapenos or mild green chiles, drained",1 cup fresh or thawed frozen corn kernels,"2 large scallions, chopped","1 large garlic clove, crushed","Hot green pepper sauce, to taste",Tortilla chips,,,,,5 cups, 15   Minutes,0   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146439.jpg,"This spicy salsa is packed with the punch of jalapeno peppers, while the baked beans off-set some of the heat.",Sizzling Summer Salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,17g,Saturated Fat,3g,Sodium,1939mg,Carbohydrates,43g,Dietary Fiber,9g,Protein,9g,Sugars,12g,Vitamin C,18mg,Calcium,58mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,13mg,Folate,13mcg,Vitamin A - IU,1161IU,Cholesterol,0mg,Potassium,276mg,156,353,black beans,salsa,dips,BUSHâ€™SÂ® beans,quick & easy,,,Mix all ingredients together and refrigerate for at least 1 1/2 hours. Serve with tortilla chips.,,"1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, rinsed and drained*","1 (8 ounce) can shoepeg corn, drained","1 (14.5 ounce) can diced tomatoes (basil, garlic, oregano flavored)",1 (10 ounce) can Ro-tel diced tomatoes,8 ounces Italian dressing,"1 medium onion, chopped","1 medium jalapeno, chopped",,,,,4 servings, 10   Minutes,0   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71682.jpg,"Spiced up tomatoes, black beans, and corn are the colorful components of this zesty salsa!",Best Black Bean Salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,32g,Saturated Fat,15g,Sodium,1328mg,Carbohydrates,33g,Dietary Fiber,10g,Protein,17g,Sugars,4g,Vitamin A,1268IU,Vitamin C,11mg,Calcium,312mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,3mg,Vitamin B6,0mg,Magnesium,42mg,Folate,66mcg,Cholesterol,55mg,Potassium,612mg,291,472,dips,BUSHâ€™SÂ® beans,,,,,,Mix sour cream and taco seasoning.  Chill in fridge for 30 minutes.,"In sauce pan, combine BUSHâ€™S<sup>Â®</sup> Refried Beans and salsa.  Heat on medium until evenly blended. Let cool.",1 (16 ounce) container sour cream,1 (1.25 ounce) package taco seasoning,1 1/2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Refried Beans,1 (16 ounce) jar chunky salsa,"2 cups lettuce, shredded","1 large tomato, chopped","2 avocados, diced","1/2 cup green onions, chopped",2 cups shredded cheese,1 (4 ounce) can sliced black olives,,8 servings, 30   Minutes, 10   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71685.jpg,"This creamy, irresistible Mexican-style dip is perfect for parties!",7 - Layer Dip,"Shred lettuce.  Dice tomatoes, avocadoes and green onions.  Take cooled BUSHâ€™S<sup>Â®</sup> Refried Beans and salsa and spread in 11x13 inch pan.  Spread sour cream/taco seasoning mixture over beans.",,,"Layer the cheese, olives, lettuce, tomatoes, avocadoes and green onions in that order evenly over each ingredient.  Serve with tortilla chips.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,18g,Saturated Fat,2g,Sodium,680mg,Carbohydrates,53g,Dietary Fiber,8g,Protein,9g,Sugars,5g,Vitamin C,86mg,Calcium,75mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,2mg,Vitamin B6,0mg,Magnesium,70mg,Folate,58mcg,Vitamin A - IU,734IU,Cholesterol,0mg,Potassium,318mg,165,390,black beans,BUSHâ€™SÂ® beans,quick & easy,,,,,"In a small bowl, combine peppers, onion, corn, garlic and cilantro. Add olive oil, vinegar, lime juice and salt and pepper to taste. Add BUSHâ€™S<sup>Â®</sup> Black Beans and toss well. Serve with tortilla chips.",,"1 red bell pepper, diced","1 green bell pepper, diced","1 yellow bell pepper, diced",1/2 cup diced red onion,"1 (15.25 ounce) can corn, drained","1 clove garlic, minced",1 teaspoon cilantro,1/4 cup olive oil,4 tablespoons red wine vinegar,1 teaspoon lime juice,"1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, rinsed and drained",6 to 8 minutes, 15   Minutes,0   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63871.jpg,"This colorful bean salad is dressed with a light, lime vinaigrette and only takes a few minutes to prepare. Serve with tortilla chips or as a side dish.",Best Black Bean Salad,,Salt and pepper to taste,Tortilla chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,28g,Saturated Fat,8g,Sodium,1951mg,Carbohydrates,105g,Dietary Fiber,18g,Protein,32g,Sugars,16g,Vitamin C,41mg,Calcium,149mg,Iron,5mg,Thiamin,0mg,Niacin Equivalents,7mg,Vitamin B6,0mg,Magnesium,55mg,Folate,87mcg,Vitamin A - IU,1447IU,Cholesterol,60mg,Potassium,947mg,255,820,BUSHâ€™SÂ® beans,,,,,,,"Heat oil in large soup pot over medium heat. Add onion, pepper and celery and saute for 5 minutes. Add remaining ingredients, except rice and cornbread, cover and simmer for 10-15 minutes. Add hot sauce, to taste. Serve on rice with cornbread.",,1 tablespoon vegetable oil,"1 medium onion, diced","1 green pepper, diced","2 celery stalks, sliced","3 cloves garlic, minced","14 ounces fully cooked sausage (such as andouille), cut into 1/2 inch slices","3 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Kidney Beans, with liquid",2 (16 ounce) cans diced tomatoes with basil,1 1/2 teaspoons cumin,1 (6 ounce) can tomato paste,Hot sauce,6 to 8 servings, 28   Minutes, 20   Minutes, 8   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63872.jpg,A traditional favorite. Serve on rice with cornbread.,Best Red Beans and Rice,,"4 cups fully cooked rice, kept warm",Corn bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,10g,Saturated Fat,4g,Sodium,1884mg,Carbohydrates,60g,Dietary Fiber,19g,Protein,33g,Sugars,7g,Vitamin C,18mg,Calcium,52mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,5mg,Vitamin B6,0mg,Magnesium,29mg,Folate,16mcg,Vitamin A - IU,817IU,Cholesterol,44mg,Potassium,493mg,94,468,black beans,chili,pinto,BUSHâ€™SÂ® beans,,,,Brown ground beef in heavy Dutch oven or soup pot. Add chili powder and mix well. Add onion and pepper to meat and cook for 2 minutes. Drain off excess grease. Stir in remaining ingredients except sour cream. Simmer on low heat for 10 minutes. Top with a dollop of sour cream.,,2 pounds lean ground round beef,3 teaspoons chili powder,"1 small yellow onion, chopped","1 small green pepper, chopped",2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Dark Red Kidney Beans,2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Pinto Beans,2 (15 ounce) cans BUSHâ€™S<sup>Â®</sup> Black Beans,1 (14.5 ounce) can tomatoes,1 (6 ounce) can tomato paste,1 1/2 teaspoons salt,1 teaspoon garlic salt,8 to 10 servings, 40   Minutes, 25   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63855.jpg,"This hearty winter meal uses dark red kidneys, pintos and black beans. The cinnamon flavor gives this recipe a sweet kick.",Best 3-Bean Chili,,1/2 teaspoon ground pepper,1/2 teaspoon cumin,,"Cinnamon, to taste",Sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,9g,Saturated Fat,2g,Sodium,2001mg,Carbohydrates,77g,Dietary Fiber,17g,Protein,24g,Sugars,38g,Vitamin C,172mg,Calcium,40mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,4mg,Vitamin B6,0mg,Magnesium,17mg,Folate,57mcg,Vitamin A - IU,3842IU,Cholesterol,27mg,Potassium,453mg,81,484,baked beans,BUSHâ€™SÂ® beans,,,,,,"Slice off pepper tops and set aside. Remove seeds from bottoms, set bottoms aside. On grill, heat an aluminum pan* and add oil, turkey, green peppers, chipotle pepper, garlic, salt and pepper. Cook over moderate heat for 5 minutes. Add BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans and bring to a boil. Spoon baked beans mixture into peppers and cook on medium/hot grill for 5 minutes. Place tops over indirect heat and cook 5 minutes. Remove peppers and tops from grill. Replace tops and serve.",,6 medium red bell peppers,1 tablespoon olive oil,2 cups diced smoked turkey,1 cup diced green peppers,"1 dried chipotle pepper, minced (or substitute with jalapeno pepper)","1 clove garlic, minced",2 (28 ounce) cans BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans,Salt to taste,Pepper to taste,,,6 servings, 32   Minutes, 20   Minutes, 12   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63876.jpg,Thick and rich baked beans are grilled inside red bell peppers.,Country Style Stuffed Peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,6g,Saturated Fat,1g,Sodium,649mg,Carbohydrates,29g,Dietary Fiber,4g,Protein,15g,Sugars,4g,Vitamin C,16mg,Calcium,41mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,5mg,Vitamin B6,0mg,Magnesium,15mg,Folate,50mcg,Vitamin A - IU,667IU,Cholesterol,29mg,Potassium,213mg,53,238,chicken,BUSHâ€™SÂ® beans,Soup,quick & easy,kid friendly,,,"Heat water to boiling in medium saucepan. Stir in rice. Remove from heat and let stand, covered, 5 minutes.","Heat oil in 12-inch non-stick skillet until hot. Add chicken, onion and pepper; cook, stirring frequently until chicken is no longer pink in color, 3 to 4 minutes. Stir in remaining ingredients. Heat to boiling. Reduce heat and simmer, covered, 5 minutes. Stir in rice and serve immediately.",1 cup water,1 cup instant long grain white rice,1 tablespoon olive oil,"12 ounces boneless chicken breasts, cut into 1/2 inch cubes","1 medium onion, finely chopped",1/2 cup chopped green bell pepper,1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter,1 (14.5 ounce) can diced tomatoes,1 teaspoon dried oregano,1 teaspoon hot pepper sauce,,6 cups, 22   Minutes, 12   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/49d61b41-9877-44d9-8ba4-0def07e5318c.jpg,This hearty gumbo is full of vegetables and chicken. It will transport you right to the Big Easy!,Louisiana Chicken Gumbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,19g,Saturated Fat,2g,Sodium,1113mg,Carbohydrates,23g,Dietary Fiber,8g,Protein,8g,Sugars,0g,Vitamin C,7mg,Calcium,12mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,0mg,Vitamin B6,0mg,Magnesium,4mg,Folate,3mcg,Vitamin A - IU,126IU,Cholesterol,0mg,Potassium,38mg,168,295,hummus,dips,vegetarian,great northern,BUSHâ€™SÂ® beans,quick & easy,,"In saucepan, combine oil and garlic over medium heat until garlic is lightly browned. Let cool slightly and strain, reserving both oil and garlic.","Place BUSHâ€™S<sup>Â®</sup> Great Northern Beans in food processor and add toasted garlic, lemon juice, cumin and parsley. Process until smooth. Carefully pour in reserved oil while machine is running. Season with salt, white pepper and cayenne.",1/2 cup olive oil,"1/8 cup garlic cloves, peeled and sliced","2 (15.8 ounce) cans BUSHâ€™S<sup>Â®</sup> Great Northern Beans, rinsed and drained",1/4 cup fresh lemon juice,1 teaspoon ground cumin,2 tablespoons chopped parsley,1/2 tablespoon salt,1 teaspoon white pepper,1 pinch cayenne pepper,,,6 servings, 15   Minutes, 5   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71683.jpg,"Whip up a batch of this delicious hummus for your next party! For a zesty, colorful dip, puree roasted peppers into the mixture.",White Bean Hummus,"Serve cool with pita bread, bagel chips or tortilla chips.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,5g,Sodium,37mg,Dietary Fiber,8g,Protein,44g,Cholesterol,96mg,Total Carbs,32g,,,,,,,,,,,,,,,,,,,,,,,,,,359,Family Inspired,BUSH'S,special,pinto beans,,,,Combine all ingredients except cilantro and tortilla chips in slow cooker.,Cover and cook 3-4 hours on low. Remove bay leaf. ,"2 pounds chicken, cooked and shredded ","2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Pinto Beans, drained ","1 (15 ounce) can whole tomatoes, mashed and undrained",1 (10 ounce) can enchilada sauce,"1 medium onion, chopped ",1 (4 ounce) can chopped green chiles,"2 garlic cloves, chopped",8 cups chicken broth,2 cups water,1 teaspoon ground cumin,1 teaspoon chili powder,8, 3   hours 15   Minutes, 3   hours, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/c03e5c6b-3d31-4539-882d-47d40e3ef573.jpg,"Seasoned with savory spices including chili powder and cumin, this zesty soup is sure to be a family favorite.",Chicken Tortilla Soup,Serve with cilantro and tortilla chips.,1 teaspoon salt,1/4 teaspoon black pepper,,1 bay leaf,1 (10 ounce) package frozen corn,"2 tablespoons fresh cilantro, chopped",tortilla chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,2g,Saturated Fat,1g,Sodium,621mg,Carbohydrates,22g,Dietary Fiber,5g,Protein,7g,Sugars,3g,Vitamin C,9mg,Calcium,39mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,4mg,Folate,4mcg,Vitamin A - IU,841IU,Cholesterol,5mg,Potassium,182mg,18,141,BUSHâ€™SÂ® beans,quick & easy,,,,,,"Cook bacon in 10-inch skillet over medium heat until crisp. Transfer bacon with a slotted spoon to a paper towel; set aside. Cook onion in drippings in skillet until tender, about 5 minutes, stirring occasionally.","Stir in BUSHâ€™S<sup>Â®</sup> Blackeye Peas and tomatoes; simmer uncovered 5 minutes, stirring occasionally. Top with reserved bacon and serve warm.","2 slices bacon, chopped",1/2 cup chopped onion,"1 (15.8 ounce) can BUSHâ€™S<sup>Â®</sup> Blackeye Peas, rinsed and drained","1 (14.5 ounce) can seasoned diced tomatoes, undrained",,,,,,,,4 servings, 20   Minutes, 10   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63863.jpg,"The flavors of four delicious ingredients blend together to make this quick-to-prepare, hearty side dish.",Savory Stewed Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,6g,Saturated Fat,1g,Sodium,334mg,Carbohydrates,22g,Dietary Fiber,7g,Protein,7g,Sugars,2g,Vitamin C,18mg,Calcium,35mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,17mg,Folate,26mcg,Vitamin A - IU,750IU,Cholesterol,0mg,Potassium,229mg,55,165,vegetarian,BUSHâ€™SÂ® beans,party favs,,,,,"In  a small saute pan over low heat, add the olive oil and garlic, cook 5-7 minutes until the garlic is translucent. Pour into a large bowl.","Add the tomatoes, beans, basil and balsamic vinegar to the bowl. Toss well. Adjust the seasoning with salt, pepper and lemon juice.",2 tablespoons extra virgin olive oil,2 tablespoons thinly sliced garlic,"2 cups cherry tomatoes, cut in half","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Cannellini Beans, with liquid","2 cups cooked green beans, cut into 2-inch pieces",1 tablespoon julienne-cut fresh basil,2 tablespoons balsamic vinegar,1/4 teaspoon salt,1 pinch black pepper,"Lemon juice, as needed",,5 servings, 35   Minutes, 20   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146108.jpg,"'This salad is easy, easy, easy and full of flavor.' Ann, DE - Member of the BUSHâ€™S<sup>Â®</sup> Beans Moms and Kids Panel.","Red, White and Beans Salad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
